total_population,p_15_60_mf,health_per_capita,country,gnipc,life_ex_birth_mf,p_dying_five,expend_health_GDP
"32,527,000",252/232,167,Afghanistan,2,59/62, ,8.2
"359,000",145/78,489,Belize,8,68/73, ,5.8
"11,299,000",98/57,"4,392",Belgium,40,79/84, ,10.6
"9,496,000",299/100,"1,031",Belarus,16,66/78, ,5.7
"284,000",116/65,"1,014",Barbados,"15,080",73/78, ,7.5
"160,996,000",156/126,88,Bangladesh,2,71/73, ,2.8
"1,377,000",70/54,"2,273",Bahrain,"36,140",76/78, ,5.0
"388,000",141/88,"1,819",Bahamas,"21,540",73/79, ,7.7
"9,754,000",167/83,"1,047",Azerbaijan,16,70/76, ,6.0
"8,545,000",91/46,"5,039",Austria,43,79/84, ,11.2
"23,969,000",78/45,"4,357",Australia,42,81/85, ,9.4
"3,018,000",227/95,362,Armenia,8,72/78, ,4.5
"43,417,000",151/83,"1,137",Argentina, ,73/80, ,4.8
"92,000",201/145,"1,208",Antigua and Barbuda,20,74/79, ,5.5
"25,022,000",372/322,239,Angola,6,51/54, ,3.3
"70,000",90/43,"4,273",Andorra, ,not available, ,8.1
"15,603,000",385/288,115,Zimbabwe,1,59/62, ,6.4
"16,212,000",356/303,195,Zambia,3,59/65, ,5.0
"26,832,000",255/211,202,Yemen,3,64/67, ,5.6
"93,448,000",189/69,390,Viet Nam,5,71/81, ,7.1
"31,108,000",198/88,923,Venezuela (Bolivarian Republic of),17,70/78, ,5.3
"265,000",161/113,150,Vanuatu,2,70/74, ,5.0
"29,894,000",210/130,340,Uzbekistan,5,66/73, ,5.8
"3,432,000",148/79,"1,792",Uruguay,18,73/80, ,8.6
"321,774,000",128/76,"9,403",United States of America,53,77/82, ,17.1
"53,470,000",314/244,137,United Republic of Tanzania,1,60/64, ,5.6
"64,716,000",88/55,"3,377",United Kingdom,35,79/83, ,9.1
"9,157,000",84/59,"2,405",United Arab Emirates,"58,090",76/79, ,3.6
"44,824,000",295/114,584,Ukraine,8,66/76, ,7.1
"39,032,000",380/307,133,Uganda,1,60/64, ,7.2
"10,000",236/182,585,Tuvalu,5,not available, ,16.5
"5,374,000",376/200,320,Turkmenistan,12,62/70, ,2.1
"78,666,000",147/73,"1,036",Turkey,18,73/79, ,5.4
"11,254,000",130/69,785,Tunisia,10,73/78, ,7.0
"1,360,000",229/129,"1,816",Trinidad and Tobago,26,68/75, ,5.9
"106,000",115/245,270,Tonga,5,71/76, ,5.2
"7,305,000",323/279,76,Togo,1,59/61, ,5.2
"1,185,000",208/164,102,Timor-Leste,6,67/70, ,1.5
"2,078,000",134/71,851,The former Yugoslav Republic of Macedonia,11,74/78, ,6.5
"67,959,000",177/90,950,Thailand,13,72/78, ,6.5
"8,482,000",176/153,185,Tajikistan,2,67/74, ,6.9
"18,502,000",116/73,376,Syrian Arab Republic, ,60/70, ,3.2
"8,299,000",66/40,"6,468",Switzerland,56,81/85, ,11.7
"9,779,000",69/43,"5,219",Sweden,44,81/84, ,11.9
"1,287,000",515/496,587,Swaziland,6,57/61, ,9.2
"543,000",171/94,979,Suriname,15,69/75, ,5.7
"40,235,000",274/212,282,Sudan,2,62/66, ,8.4
"20,715,000",184/75,369,Sri Lanka,9,72/78, ,3.5
"46,122,000",86/40,"2,966",Spain,31,80/86, ,9.0
"12,340,000",353/323,73,South Sudan,2,56/59, ,2.7
"54,490,000",441/320,"1,148",South Africa,12,59/66, ,8.8
"10,787,000",339/289, ,Somalia, ,54/57, , 
"584,000",203/162,108,Solomon Islands,1,68/71, ,5.0
"2,068,000",112/49,"2,698",Slovenia,28,78/84, ,9.2
"5,426,000",168/67,"2,179",Slovakia,25,73/80, ,8.1
"5,604,000",69/38,"4,047",Singapore,76,80/86, ,4.9
"6,453,000",444/423,224,Sierra Leone,1,49/51, ,11.1
"96,000",214/99,844,Seychelles,23,69/78, ,3.4
"8,851,000",172/84,"1,312",Serbia,12,73/78, ,10.4
"15,129,000",244/192,107,Senegal,2,65/69, ,4.7
"31,540,000",89/67,"2,466",Saudi Arabia,53,73/76, ,4.7
"190,000",221/168,300,Sao Tome and Principe,2,66/69, ,8.3
"32,000",54/46,"3,390",San Marino, ,not available, ,6.1
"193,000",166/97,418,Samoa,4,71/78, ,7.2
"110,000",169/110,917,Saint Vincent and the Grenadines,10,71/75, ,8.6
"185,000",177/85,698,Saint Lucia,10,73/78, ,6.7
"56,000",165/79,"1,152",Saint Kitts and Nevis,20,not available, ,5.1
"11,610,000",246/196,125,Rwanda,1,61/71, ,7.5
"143,457,000",339/126,"1,836",Russian Federation,23,65/76, ,7.1
"19,511,000",205/81,"1,079",Romania,18,71/79, ,5.6
"4,069,000",277/106,514,Republic of Moldova,5,68/76, ,10.3
"50,293,000",93/38,"2,531",Republic of Korea,33,79/86, ,7.4
"2,235,000",72/50,"3,071",Qatar,123,77/80, ,2.2
"10,350,000",111/48,"2,690",Portugal,25,78/84, ,9.5
"38,612,000",186/70,"1,570",Poland,22,74/81, ,6.3
"100,699,000",255/136,329,Philippines,7,65/72, ,4.7
"31,377,000",116/90,656,Peru,11,73/78, ,5.5
"6,639,000",178/96,873,Paraguay,7,72/76, ,9.8
"7,619,000",319/243,109,Papua New Guinea,2,61/65, ,4.3
"3,929,000",149/81,"1,677",Panama,19,75/81, ,8.0
"21,000",156/106,"1,429",Palau,14,not available, ,9.0
"188,925,000",189/155,129,Pakistan,4,66/68, ,2.6
"4,490,000",116/73,"1,442",Oman,"52,170",75/79, ,3.5
"5,211,000",73/47,"6,347",Norway,66,80/84, ,9.7
"2,000",164/84,887,Niue, ,not available, ,7.5
"182,202,000",357/325,217,Nigeria,5,53/56, ,3.7
"19,899,000",252/241,54,Niger,910,61/63, ,5.8
"6,082,000",200/116,445,Nicaragua,4,72/78, ,9.0
"4,528,000",80/52,"4,018",New Zealand,"30,750",80/83, ,11.0
"16,925,000",69/54,"5,202",Netherlands,43,80/84, ,10.9
"28,514,000",192/159,137,Nepal,2,68/71, ,5.8
"10,000",88/44,512,Nauru, ,not available, ,3.3
"2,459,000",255/177,869,Namibia,9,63/68, ,8.9
"53,897,000",240/183,103,Myanmar, ,65/68, ,2.3
"27,978,000",438/432,79,Mozambique,1,56/59, ,7.0
"34,378,000",170/121,447,Morocco,7,73/75, ,5.9
"626,000",152/79,888,Montenegro,14,74/78, ,6.4
"2,959,000",309/148,565,Mongolia,8,65/73, ,4.7
"38,000",105/48,"7,302",Monaco, ,not available, ,4.3
"104,000",181/154,473,Micronesia (Federated States of),3,68/71, ,13.7
"127,017,000",174/93,"1,122",Mexico,16,74/80, ,6.3
"1,273,000",202/95,896,Mauritius,17,71/78, ,4.8
"4,068,000",234/187,148,Mauritania,2,62/65, ,3.8
"53,000",153/104,680,Marshall Islands,4,not available, ,17.1
"419,000",75/41,"3,072",Malta,28,80/84, ,9.8
"17,600,000",277/275,108,Mali,1,58/58, ,6.9
"364,000",86/55,"1,996",Maldives,9,77/80, ,13.7
"30,331,000",169/86,"1,040",Malaysia,22,73/77, ,4.2
"17,215,000",362/290,93,Malawi,750,57/60, ,11.4
"24,235,000",257/208,44,Madagascar,1,64/67, ,3.0
"567,000",79/50,"6,812",Luxembourg,"59,750",80/84, ,6.9
"2,878,000",254/88,"1,718",Lithuania,24,68/79, ,6.5
"6,278,000",117/80,806,Libya,"28,110",70/76, ,5.0
"4,503,000",279/240,98,Liberia,790,60/63, ,10.0
"2,135,000",577/492,276,Lesotho,3,52/55, ,10.6
"5,851,000",70/46,987,Lebanon,17,74/76, ,6.4
"1,970,000",224/85,940,Latvia,22,70/79, ,5.9
"6,802,000",197/158,98,Lao People's Democratic Republic,4,64/67, ,1.9
"5,940,000",272/130,215,Kyrgyzstan,3,67/75, ,6.5
"3,892,000",59/42,"2,320",Kuwait,"88,170",74/76, ,3.0
"112,000",206/134,184,Kiribati,2,64/69, ,10.2
"46,050,000",299/250,169,Kenya,2,61/66, ,5.7
"17,625,000",322/146,"1,068",Kazakhstan,20,66/75, ,4.4
"7,594,000",131/96,798,Jordan,11,72/76, ,7.5
"126,574,000",81/42,"3,727",Japan,37,80/87, ,10.2
"2,793,000",173/105,476,Jamaica,8,74/79, ,5.4
"59,798,000",69/38,"3,239",Italy,34,80/85, ,9.2
"8,064,000",72/41,"2,599",Israel,32,81/84, ,7.8
"4,688,000",82/49,"3,801",Ireland,"35,090",79/83, ,7.8
"36,423,000",203/104,667,Iraq,15,66/72, ,5.5
"79,109,000",153/83,"1,082",Iran (Islamic Republic of),15,74/77, ,6.9
"257,564,000",176/121,299,Indonesia,9,67/71, ,2.9
"1,300,000,000",239/158,267,India,5,67/70, ,4.7
"329,000",61/37,"3,882",Iceland,38,81/84, ,8.9
"9,855,000",201/91,"1,827",Hungary,"21,000",72/79, ,7.4
"8,075,000",173/120,400,Honduras,4,72/77, ,8.7
"10,711,000",263/221,131,Haiti,1,62/66, ,7.6
"767,000",377/256,379,Guyana,6,64/68, ,5.2
"1,844,000",393/325,91,Guinea-Bissau,1,57/60, ,5.6
"12,609,000",301/267,68,Guinea,1,58/60, ,5.6
"16,343,000",236/126,473,Guatemala,7,68/75, ,6.2
"107,000",194/120,728,Grenada,11,71/76, ,6.1
"10,955,000",98/41,"2,098",Greece,25,78/84, ,8.1
"27,410,000",261/222,145,Ghana,3,61/64, ,3.6
"80,688,000",92/50,"5,182",Germany,44,79/83, ,11.3
"4,000,000",174/66,628,Georgia,7,70/78, ,7.4
"1,991,000",295/240,118,Gambia,1,60/62, ,7.3
"1,725,000",296/235,599,Gabon,17,65/67, ,3.4
"64,395,000",109/52,"4,508",France,37,79/85, ,11.5
"5,504,000",114/51,"3,701",Finland,38,78/84, ,9.7
"892,000",239/143,364,Fiji,7,67/73, ,4.5
"99,391,000",239/198,73,Ethiopia,1,63/67, ,4.9
"1,313,000",195/64,"1,668",Estonia,24,73/82, ,6.4
"5,228,000",301/229,51,Eritrea,1,62/67, ,3.3
"845,000",368/319,"1,163",Equatorial Guinea,23,57/60, ,3.8
"6,127,000",290/136,565,El Salvador,7,69/78, ,6.8
"91,508,000",193/117,594,Egypt,10,69/73, ,5.6
"16,144,000",157/85,"1,040",Ecuador,10,74/79, ,9.2
"10,528,000",160/146,580,Dominican Republic,11,71/77, ,4.4
"73,000",219/116,587,Dominica,9,not available, ,5.5
"888,000",286/245,338,Djibouti,"2,190",62/65, ,10.6
"5,669,000",100/60,"4,782",Denmark,44,79/82, ,10.8
"77,267,000",379/320,32,Democratic Republic of the Congo,680,58/62, ,4.3
"25,155,000",183/111, ,Democratic People's Republic of Korea, ,67/74, , 
"10,543,000",127/57,"2,146",Czechia,25,76/82, ,7.4
"1,165,000",75/36,"2,062",Cyprus,28,78/83, ,7.4
"11,390,000",115/73,"2,475",Cuba,"18,520",77/81, ,11.1
"4,240,000",135/58,"1,652",Croatia,20,75/81, ,7.8
"22,702,000",410/398,187,C̫te d'Ivoire,2,52/54, ,5.7
"4,808,000",111/64,"1,389",Costa Rica,13,77/82, ,9.3
"21,000",163/73,486,Cook Islands, ,not available, ,3.4
"4,620,000",323/280,323,Congo,4,63/66, ,5.2
"788,000",281/234,101,Comoros,1,62/65, ,6.8
"48,229,000",148/73,962,Colombia,11,71/78, ,7.2
"1,400,000,000",103/76,731,China,11,75/78, ,5.5
"17,948,000",107/55,"1,749",Chile,21,77/83, ,7.8
"14,038,000",410/377,79,Chad,2,52/54, ,3.6
"4,900,000",433/412,25,Central African Republic,600,51/54, ,4.2
"35,940,000",81/52,"4,641",Canada,42,80/84, ,10.4
"23,344,000",370/341,122,Cameroon,2,56/59, ,4.1
"15,578,000",210/157,183,Cambodia,2,67/71, ,5.7
"520,000",144/68,310,Cabo Verde,6,71/75, ,4.8
"11,179,000",359/300,58,Burundi,820,58/62, ,7.5
"18,106,000",298/256,82,Burkina Faso,1,59/60, ,5.0
"7,150,000",189/83,"1,399",Bulgaria,15,71/78, ,8.4
"423,000",101/69,"1,778",Brunei Darussalam,"68,090",76/79, ,2.6
"207,848,000",197/97,"1,318",Brazil,14,71/79, ,8.3
"2,262,000",321/254,871,Botswana,15,63/68, ,5.4
"3,810,000",138/64,957,Bosnia and Herzegovina,9,75/80, ,9.6
"10,725,000",247/172,427,Bolivia (Plurinational State of),5,68/73, ,6.3
"775,000",219/212,281,Bhutan,7,70/70, ,3.6
"10,880,000",284/238,86,Benin,1,59/61, ,4.6
"39,666,000",164/121,932,Algeria,12,74/78, ,7.2
"2,897,000",118/85,615,Albania,10,75/81, ,5.9
