releaseDate,publisher,gameName,kinectSupport,kinectRequired
2011-12-06,Ubisoft,The Adventures of Tintin: The Game,TRUE,No
2011-11-15,Majesco Entertainment,Alvin and the Chipmunks: Chipwrecked,TRUE,Yes
2012-10-16,Activision,Angry Birds Trilogy,TRUE,No
2011-11-08,Activision,Big League Sports,TRUE,Yes
2010-11-04,THQ,The Biggest Loser: Ultimate Workout,TRUE,Yes
2012-02-28,Sega,Binary Domain,TRUE,No
2011-11-08,Ubisoft,The Black Eyed Peas Experience,TRUE,Yes
2011-10-25,505 Games,Blackwater,TRUE,No
2011-02-08,Namco Bandai,Body and Brain Connection,TRUE,Yes
2012-06-19,Disney Interactive Studios,Brave: The Video Game,TRUE,No
2011-02-15,Crave Entertainment,Brunswick Pro Bowling,TRUE,Yes
2011-04-05,2K Play,"Carnival Games: Monkey See, Monkey Do",TRUE,Yes
2011-11-08,Tecmo Koei,Champion Jockey: G1 Jockey & Gallop Racer,TRUE,No
2011-06-14,Ubisoft,Child of Eden,TRUE,No
2010-11-04,MTV Games,Dance Central,TRUE,Yes
2011-10-25,MTV Games,Dance Central 2,TRUE,Yes
2012-10-16,MTV Games,Dance Central 3,TRUE,Yes
2010-11-04,Konami,Dance Evolution,TRUE,Yes
2013-02-05,Electronic Arts,Dead Space 3,TRUE,No
2010-11-18,Konami,Deca Sports Freedom,TRUE,Yes
2010-10-05,Konami,Def Jam Rapstar,TRUE,No
2013-04-02,Trion Worlds,Defiance,TRUE,No
2012-10-16,Namco Bandai,Dragon Ball Z for Kinect,TRUE,Yes
2010-11-16,EA Sports,EA Sports Active 2,TRUE,Yes
2011-11-11,Bethesda Softworks,The Elder Scrolls V: Skyrim,TRUE,No
2012-10-09,Microsoft Studios,Fable: The Journey,TRUE,Yes
2014-10-21,Microsoft Studios,Fantasia: Music Evolved,TRUE,Yes
2012-09-25,EA Sports,FIFA Soccer 13,TRUE,No
2010-11-04,Ubisoft,Fighters Uncaged,TRUE,Yes
2011-10-11,Microsoft Studios,Forza Motorsport 4,TRUE,No
2012-10-23,Microsoft Studios,Forza Horizon,TRUE,No
2010-11-18,Warner Bros. Interactive Entertainment,Game Party: In Motion,TRUE,Yes
2010-11-26,Deep Silver,Get Fit With Mel B,TRUE,Yes
2011-10-25,505 Games,Grease Dance,TRUE,Yes
2011-09-13,Microsoft Studios,The Gunstringer,TRUE,Yes
2011-11-15,Microsoft Studios,Halo: Combat Evolved Anniversary,TRUE,No
2012-09-18,Majesco,Harley Pasternakâ€™s Hollywood Workout,TRUE,Yes
2010-11-16,Electronic Arts,Harry Potter and the Deathly Hallows: Part I,TRUE,No
2012-10-09,Warner Bros. Interactive Entertainment,Harry Potter for Kinect,TRUE,Yes
2011-11-01,Electronic Arts,Hasbro Family Game Night 4: The Game Show,TRUE,No
2012-11-13,Ubisoft,The Hip Hop Dance Experience,TRUE,Yes
2011-08-24,Ubisoft,Hole in the Wall,TRUE,Yes
2011-10-11,Majesco Entertainment,Hulk Hogan's Main Event,TRUE,Yes
2012-07-10,Activision,Ice Age: Continental Drift - Arctic Games,TRUE,Yes
2011-10-07,Ubisoft,Just Dance 3,TRUE,Yes
2012-10-09,Ubisoft,Just Dance 4,TRUE,Yes
2012-10-23,Ubisoft,Just Dance: Disney Party,TRUE,Yes
2012-06-26,Ubisoft,Just Dance: Greatest Hits,TRUE,Yes
2010-11-09,Ubisoft,Just Dance Kids,TRUE,Yes
2011-10-25,Ubisoft,Just Dance Kids 2,TRUE,Yes
2010-11-04,Microsoft Studios,Kinect Adventures,TRUE,Yes
2011-11-15,Microsoft Studios,Kinect Disneyland Adventures,TRUE,Yes
2010-11-04,Microsoft Studios,Kinect Joy Ride,TRUE,Yes
2012-09-18,Microsoft,Kinect Nat Geo TV,TRUE,Yes
2012-03-20,Microsoft Studios,Kinect Rush: A Disney-Pixar Adventure,TRUE,Yes
2012-09-18,Microsoft Studios,Kinect Sesame Street TV,TRUE,Yes
2010-11-04,Microsoft Studios,Kinect Sports,TRUE,Yes
2011-10-25,Microsoft Studios,Kinect Sports: Season Two,TRUE,Yes
2012-04-03,Microsoft Studios,Kinect Star Wars,TRUE,Yes
2010-11-04,Microsoft Studios,Kinectimals,TRUE,Yes
2011-10-11,Microsoft Studios,Kinectimals: Now with Bears!,TRUE,Yes
2011-05-24,THQ,Kung Fu Panda 2,TRUE,Yes
2011-11-08,THQ,Leela,TRUE,Yes
2012-06-26,Sega,London 2012,TRUE,No
2012-08-28,EA Sports,Madden NFL 13,TRUE,No
2012-10-30,Ubisoft,Marvel Avengers: Battle for Earth,TRUE,Yes
2012-03-06,Electronic Arts,Mass Effect 3,TRUE,No
2011-04-12,Ubisoft,Michael Jackson: The Experience,TRUE,Yes
2011-10-18,Zoo Games,Minute To Win It,TRUE,Yes
2010-11-04,Ubisoft,MotionSports,TRUE,Yes
2012-09-11,Majesco Entertainment,NBA Baller Beats,TRUE,Yes
2012-10-02,2K Sports,NBA 2K13,TRUE,No
2013-10-01,2K Sports,NBA 2K14,TRUE,No
2012-10-30,Electronic Arts,Need for Speed: Most Wanted,TRUE,No
2011-09-13,2K Play,Nicktoons MLB,TRUE,Yes
2012-10-30,Microsoft Studios,Nike+ Kinect Training,TRUE,Yes
2012-12-04,Namco Bandai,Power Rangers Super Samurai,TRUE,Yes
2011-10-25,THQ,Puss in Boots,TRUE,Yes
2011-11-08,Ubisoft,Raving Rabbids: Alive & Kicking,TRUE,Yes
2011-09-06,Sega,Rise of Nightmares,TRUE,Yes
2011-11-08,Ubisoft,Self-Defense Training Camp,TRUE,Yes
2011-10-11,Warner Bros. Interactive Entertainment,Sesame Street: Once Upon a Monster,TRUE,Yes
2011-10-18,Electronic Arts,The Sims 3: Pets,TRUE,No
2010-11-04,Sega,Sonic Free Riders,TRUE,Yes
2011-11-08,THQ,SpongeBob's Surf & Skate Roadtrip,TRUE,Yes
2012-06-19,Capcom,Steel Battalion: Heavy Armor,TRUE,Yes
2012-03-27,EA Sports,Tiger Woods PGA Tour 13,TRUE,No
2013-03-26,EA Sports,Tiger Woods PGA Tour 14,TRUE,No
2012-05-22,Ubisoft,Tom Clancy's Ghost Recon: Future Soldier,TRUE,No
2013-08-20,Ubisoft,Tom Clancy's Splinter Cell: Blacklist,TRUE,No
2012-10-30,Disney Interactive Studios,Toy Story Mania!,TRUE,No
2011-11-01,Majesco Entertainment,Twister Mania,TRUE,Yes
2011-06-28,THQ,UFC Personal Trainer,TRUE,Yes
2011-05-10,SEGA,Virtua Tennis 4,TRUE,No
2011-06-14,Activision,Wipeout in the Zone,TRUE,Yes
2012-09-24,Activision,Wipeout 3,TRUE,Yes
2011-03-08,Yoostar Entertainment Group,Yoostar 2,TRUE,Yes
2011-03-08,Yoostar Entertainment Group,Yoostar on MTV,TRUE,Yes
2010-11-04,Ubisoft,Your_Shape:_Fitness_Evolved,TRUE,Yes
2011-11-08,Ubisoft,Your Shape Fitness Evolved 2012,TRUE,Yes
2010-11-18,Majesco Entertainment,Zumba Fitness,TRUE,Yes
2012-10-16,Majesco Entertainment,Zumba Fitness Core,TRUE,Yes
2012-02-13,Majesco Entertainment,Zumba Fitness Rush,TRUE,Yes
2013-11-05,Majesco Entertainment,Zumba Fitness: World Party,TRUE,Yes
2013-11-19,Majesco Entertainment,Zumba Kids,TRUE,Yes
